Metodo,Acuracia
GaussianNB,0.5371428571428571
BernoulliNB,0.7142857142857143
KNeighborsClassifier(2),0.7085714285714285
KNeighborsClassifier(3),0.6685714285714286
KNeighborsClassifier(5),0.6342857142857142
KNeighborsClassifier(8),0.6857142857142857
DecisionTreeClassifier(),0.7028571428571428
RandomForestClassifier(3_estimators),0.6514285714285715
RandomForestClassifier(5_estimators),0.6571428571428571
RandomForestClassifier,0.6514285714285715
SVM,0.5828571428571429
MLPClassifier,0.6514285714285715
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
