Metodo,Acuracia
GaussianNB,0.5485714285714286
BernoulliNB,0.7142857142857143
KNeighborsClassifier(2),0.7085714285714285
KNeighborsClassifier(3),0.64
KNeighborsClassifier(5),0.6514285714285715
KNeighborsClassifier(8),0.68
DecisionTreeClassifier(),0.6057142857142858
RandomForestClassifier(3_estimators),0.6342857142857142
RandomForestClassifier(5_estimators),0.6514285714285715
RandomForestClassifier,0.6914285714285714
SVM,0.5771428571428572
MLPClassifier,0.6457142857142857
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
