Metodo,Acuracia
GaussianNB,0.5771428571428572
BernoulliNB,0.34285714285714286
KNeighborsClassifier(2),0.6857142857142857
KNeighborsClassifier(3),0.6457142857142857
KNeighborsClassifier(5),0.6514285714285715
KNeighborsClassifier(8),0.6342857142857142
DecisionTreeClassifier(),0.7028571428571428
RandomForestClassifier(3_estimators),0.6514285714285715
RandomForestClassifier(5_estimators),0.6628571428571428
RandomForestClassifier,0.6971428571428572
SVM,0.5885714285714285
MLPClassifier,0.5714285714285714
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
